Status;Año - mes;Descripción SAP ;Nombre Lean;SAP;División;Marca;Tipo de Actividad;Clasificación;NPS;Nº APO;TON;Nº Rolling;TONxRolling;120;90;60;30;;;;;;;;;;;
1;2025-01;MAGGI Ju Sznd+C&B CP 14(125+160)g MX​;Pareja Perfecta;12343743;Culinarios;Sazonadores Líquidos;In&Out;Ofertas Armadas;10.800.000;14636,59139;58,4;47;11,4;1;1;1;1;;;;;;;;;;;
1;2025-01;CARLOS V Chocolate MP 24(18x18g)PR36g+MX;Carlos V - Jirafa Suizo + Suizo;12398633;Impulso;Carlos V;In&Out;Jirafas;71.093.732;15432,09877;224726,508;36;224690,508;1;1;1;1;;;;;;;;;;;
1;2025-01;NIDO Deslactosada Lata 6x1.92kgPR320g+MX;NIDO Deslactosada 1.92kg;12450012;Nido Fortificada;Nido Fortificada;In&Out;Jirafas;15;8593,749999;99;37;62;1;1;1;1;;;;;;;;;;;
1;2025-01;CARNATION Polvo Doypack24x520gPR60g+N1MX;Carnation jirafa 520g;12462744;Lácteos Culinarios;Carnation;In&Out;Jirafas;3.389;2608,999961;29;29;0;1;1;1;1;;;;;;;;;;;
1;2025-01;CONSOMATE Caldo Pollo TomP1(24x105g)N2MX;Consomate 8+2;12512846;Culinarios;Consomate;In&Out;Ofertas Armadas;4.800.000;8283,73016;16,7;17;-0,3;1;1;1;1;;;;;;;;;;;
1;2025-01;CONSOMATECaldoPllTom12(31x21g)PR84gGrtMX;Consomate 27+8 nueva;12535922;Culinarios;Consomate;In&Out;Ofertas Armadas;10.000.000;10199,82078;69,4;69;0,4;1;1;1;1;;;;;;;;;;;
1;2025-01;NESCAFE CLASICO Dawn Jar 12x225gPR25g+MX;CLÁSICO - Clásico 225g MYW;12537756;Cafés;Clásico;In&Out;Empaque;149;68001,51329;288;242;46;1;1;1;1;;;;;;;;;;;
1;2025-01;MORELIA PRESIDENCIALBsa24x445gPR88g+N1MX;Morelia 445g;12565682;Modificadores;Morelia;In&Out;Jirafas;7.000;22031,38575;172;84;88;1;1;1;1;;;;;;;;;;;
1;2025-01;COFFEE-MATE Original Botadero150x80gN1MX;CFMT Botadero 80g;12574909;Cremadores;Cm Polvo;In&Out;Botaderos de Origen;5;2759,581814;33;;33;1;1;1;1;;;;;;;;;;;
1;2025-01;CARLOS V Beating Cream 12x1.06kg MX;CARLOS V Beating Cream 12x1.06kg MX;12577403;Nestlé Professional;Carlos V;Innovaciones;Sabores;;580,188684;;;;1;1;1;1;;;;;;;;;;;
